Madrier d'érable;Menuisier;1;Bois;3 Rondin d'érable;1 Éclat de vent;1;9;40;312
Galoches;Menuisier;1;Pieds;1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;19;60;312
Arc court;Menuisier;2;Arme d'archer;1 Fil de chanvre, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;20;60;325
Harpon;Menuisier;3;Arme d'hast;1 Fragment d'os, 1 Glu animale, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;20;60;339
Meule d'amateur;Menuisier;4;Outil secondaire d'orfèvre;1 Grès, 1 Lingot de bronze, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;21;60;352
Patins;Menuisier;4;Pieds;1 Cuir, 1 Madrier d'érable, 1 Étoffe de chanvre;1 Éclat de glace, 1 Éclat de vent;1;21;60;352
Rouet d'amateur;Menuisier;5;Outil secondaire de couturier;2 Madrier d'érable, 2 Rivets en bronze;1 Éclat de glace, 1 Éclat de vent;1;33;60;451
Bouclier carré;Menuisier;5;Bouclier;1 Madrier d'érable, 2 Rivets en bronze;1 Éclat de glace, 1 Éclat de vent;1;33;60;451
Hast;Menuisier;6;Arme d'hast;1 Huile de poisson, 1 Lingot de bronze, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;36;60;474
Canne;Menuisier;6;Arme à deux mains d'élémentaliste;1 Formule de croissance alpha, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;36;60;474
Arc long;Menuisier;7;Arme d'archer;1 Branche d'érable, 1 Fil de chanvre, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;37;60;492
Crosse;Menuisier;8;Arme à deux mains d'élémentaliste;1 Madrier d'érable, 1 Sang de bête;1 Éclat de glace, 1 Éclat de vent;1;41;60;526
Canne à pêche;Menuisier;8;Outil principal de pêcheur;1 Branche d'érable, 1 Lingot de bronze, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;41;60;526
Arc court orné;Menuisier;9;Arme d'archer;1 Arc court, 1 Branche d'érable, 1 Plume de coq;1 Éclat de glace, 1 Éclat de vent;1;63;60;408
Bouclier rond;Menuisier;9;Bouclier;1 Lingot de bronze, 1 Madrier d'érable, 2 Rivets en bronze;1 Éclat de glace, 1 Éclat de vent;1;42;60;545
Madrier de frêne;Menuisier;10;Bois;3 Rondin de frêne;1 Éclat de vent;1;22;40;629
Macuahuitl;Menuisier;10;Arme de gladiateur;1 Madrier de frêne, 1 Éclat d'obsidienne;1 Éclat de glace, 1 Éclat de vent;1;45;60;629
Harpon en corne de bélier;Menuisier;10;Arme d'hast;1 Corne de bélier, 1 Madrier de frêne;1 Éclat de glace, 1 Éclat de vent;1;45;60;629
Meule en grès;Menuisier;11;Outil secondaire d'orfèvre;1 Grès, 1 Lingot de bronze, 1 Madrier de frêne;1 Éclat de glace, 1 Éclat de vent;1;48;60;665
Rouet;Menuisier;12;Outil secondaire de couturier;2 Madrier de frêne, 2 Rivets en bronze;1 Éclat de glace, 1 Éclat de vent;1;53;60;702
Canne à pêche d'amateur;Menuisier;12;Outil principal de pêcheur;1 Branche de frêne, 1 Lingot de bronze, 1 Madrier de frêne;1 Éclat de glace, 1 Éclat de vent;1;53;60;702
Harpon à plumet;Menuisier;13;Arme d'hast;1 Fémur sale, 1 Glu animale, 1 Madrier de frêne, 1 Plume de corbeau;1 Éclat de glace, 1 Éclat de vent;1;54;60;726
Radicelle;Menuisier;13;Arme à deux mains d'élémentaliste;1 Branche de frêne, 1 Fragment d'os, 1 Sang de bête;1 Éclat de glace, 1 Éclat de vent;1;54;60;726
Hast en laiton;Menuisier;14;Arme d'hast;1 Huile de poisson, 1 Lingot de bronze, 1 Lingot de laiton, 1 Madrier d'érable;1 Éclat de glace, 1 Éclat de vent;1;54;60;751
Masque en frêne;Menuisier;14;Tête;1 Cuir, 1 Huile de poisson, 1 Madrier de frêne;1 Éclat de glace, 1 Éclat de vent;1;54;60;751
Patins en frêne;Menuisier;14;Pieds;1 Cuir, 1 Madrier de frêne, 1 Étoffe de chanvre;1 Éclat de glace, 1 Éclat de vent;1;54;60;751
Arc long gainé;Menuisier;15;Arme d'archer;1 Arc long, 2 Branche de frêne, 1 Cuir rigide;1 Éclat de glace, 1 Éclat de vent;1;82;70;605
Arc court en frêne;Menuisier;15;Arme d'archer;1 Branche de frêne, 1 Fil de chanvre, 1 Madrier de frêne;1 Éclat de glace, 1 Éclat de vent;1;55;70;807
Bouclier carré en frêne;Menuisier;15;Bouclier;1 Madrier de frêne, 2 Rivets en bronze;1 Éclat de glace, 1 Éclat de vent;1;55;70;807
Madrier d'orme;Menuisier;16;Bois;3 Rondin d'orme;1 Éclat de vent;1;31;40;866
Canne à pêche en orme;Menuisier;16;Outil principal de pêcheur;1 Branche de frêne, 1 Lingot de fer, 1 Madrier d'orme;1 Éclat de glace, 1 Éclat de vent;1;63;70;866
Hast en fer;Menuisier;17;Arme d'hast;1 Essence de girofle, 1 Lingot de fer, 1 Madrier d'orme;1 Éclat de glace, 1 Éclat de vent;1;66;70;898
Canne en orme;Menuisier;18;Arme à deux mains d'élémentaliste;1 Formule de croissance bêta, 1 Madrier d'orme;1 Éclat de glace, 1 Éclat de vent;1;67;70;939
Arc long en orme;Menuisier;19;Arme d'archer;2 Branche de frêne, 1 Fil de coton, 1 Madrier d'orme;1 Éclat de glace, 1 Éclat de vent;1;68;70;982
Crosse en orme;Menuisier;19;Arme à deux mains d'élémentaliste;1 Madrier d'orme, 1 Sang de bête;1 Éclat de glace, 1 Éclat de vent;1;68;70;982
Rouet d'initié;Menuisier;19;Outil secondaire de couturier;2 Madrier d'orme, 2 Rivets en bronze;1 Éclat de glace, 1 Éclat de vent;1;68;70;982
Rouleau d'orchestrion vierge I;Menuisier;20;Rouleau pour orchestrion;1 Herbe de moko, 1 Rondin d'orme;1 Éclat de vent;1;37;40;1053
Lance;Menuisier;20;Arme d'hast;1 Cuir rigide, 2 Lingot de fer, 1 Madrier d'orme;1 Éclat de glace, 1 Éclat de vent;1;74;70;1053
Canne à pêche d'initié;Menuisier;20;Outil principal de pêcheur;1 Branche d'if, 1 Lingot de fer, 1 Madrier d'orme;1 Éclat de glace, 1 Éclat de vent;1;74;70;1053
Masque en frêne (lapis-lazuli);Menuisier;20;Tête;1 Cuir, 1 Essence de girofle, 1 Lapis-lazuli, 1 Madrier de frêne;1 Éclat de glace, 1 Éclat de vent;1;74;70;1053
Madrier d'if;Menuisier;21;Bois;3 Rondin d'if;2 Éclat de vent;1;37;40;1090
Arc de vélocité en orme;Menuisier;21;Arme d'archer;1 Arc court en frêne, 1 Madrier d'orme, 1 Plume de corbeau;1 Éclat de glace, 2 Éclat de vent;1;112;70;817
Radicelle en if;Menuisier;21;Arme à deux mains d'élémentaliste;1 Branche d'if, 1 Sang de bête, 1 Telline du levant;1 Éclat de glace, 2 Éclat de vent;1;75;70;1090
Guisarme;Menuisier;22;Arme d'hast;1 Glu animale, 1 Lingot de fer, 1 Madrier d'orme;1 Éclat de glace, 2 Éclat de vent;1;75;70;1122
Meule en mudstone;Menuisier;22;Outil secondaire d'orfèvre;1 Lingot de fer, 1 Madrier d'orme, 1 Mudstone;1 Éclat de glace, 2 Éclat de vent;1;75;70;1122
Rouet en orme;Menuisier;23;Outil secondaire de couturier;2 Madrier d'orme, 2 Rivets en fer;1 Éclat de glace, 2 Éclat de vent;1;79;70;1169
Arc long en orme gainé;Menuisier;24;Arme d'archer;1 Arc long gainé, 1 Cuir rigide, 1 Madrier d'orme;2 Éclat de glace, 2 Éclat de vent;1;127;70;929
Crosse en if;Menuisier;24;Arme à deux mains d'élémentaliste;1 Madrier d'if, 1 Sang de bête;2 Éclat de glace, 2 Éclat de vent;1;85;70;1239
Patins en orme;Menuisier;24;Pieds;1 Cuir rigide, 1 Madrier d'orme, 1 Étoffe de coton;2 Éclat de glace, 2 Éclat de vent;1;85;70;1239
Madrier de noyer;Menuisier;25;Bois;3 Rondin de noyer;2 Éclat de vent;1;44;40;1296
Meule d'initié;Menuisier;25;Outil secondaire d'orfèvre;1 Lingot de fer, 1 Madrier de noyer, 1 Mudstone;2 Éclat de glace, 2 Éclat de vent;1;89;70;1296
